time,targetX,targetY,x,y,theta,E3,E4,dE3,dE4,L,R,dS,dtheta,motorL,motorR,distance,angleError
0.09460687637329102,1.0,0.0,0.0,0.0,0.0,3540,3080,0,0,0.0,0.0,0.0,0.0,45,45,1.0,0.0
0.2623574733734131,1.0,0.0,0.005235957958332246,-1.766463645236633e-05,-0.00674740690203993,3549,3087,9,7,0.005890486225480862,0.004581489286485115,0.005235987755982989,-0.00674740690203993,44,45,0.9947640421985087,0.006765164516613789
0.4077427387237549,1.0,0.0,0.027159129984979772,-0.0003505204744353796,-0.023615924157139753,3585,3118,36,31,0.023561944901923447,0.02028945255443408,0.021925698728178764,-0.016868517255099823,42,45,0.9728409331623462,0.023976230215479722
0.5468399524688721,1.0,0.0,0.052675273983884704,-0.0010393589662550835,-0.03036333105917966,3625,3156,40,38,0.02617993877991494,0.0248709418409192,0.02552544031041707,-0.006747406902039907,40,44,0.94732529618319,0.03146048235342099
0.68514084815979,1.0,0.0,0.08210742639350847,-0.0021321095559013684,-0.04385814486325953,3672,3199,47,43,0.03076142806640006,0.028143434188408565,0.02945243112740431,-0.013494813804079868,38,43,0.9178950498685059,0.04618097193757117
0.8181557655334473,1.0,0.0,0.11348831737287088,-0.0036153901936458455,-0.050605551765299434,3721,3246,49,47,0.0320704250053958,0.03076142806640006,0.031415926535897934,-0.006747406902039907,36,42,0.8865190547758327,0.05468374974183314
0.9575479030609131,1.0,0.0,0.14681285586517343,-0.005528749442917664,-0.06410036556937931,3774,3295,53,49,0.0346884188833873,0.0320704250053958,0.03337942194439155,-0.013494813804079886,34,42,0.8532050574084427,0.07058038826471084
1.0953502655029297,1.0,0.0,0.18174481330969386,-0.007948535146998932,-0.07422147592243923,3829,3347,55,52,0.03599741582238305,0.034033920413889425,0.03501566811813624,-0.010121110353059914,32,41,0.8182937918355307,0.08393517560621411
1.2341945171356201,1.0,0.0,0.2156763258030701,-0.01058675398758262,-0.08096888282447917,3882,3398,53,51,0.0346884188833873,0.03337942194439155,0.034033920413889425,-0.006747406902039943,30,40,0.7843951206284786,0.09446600328261792
1.3731606006622314,1.0,0.0,0.2509034530603256,-0.013445304706740685,-0.08096888282447917,3936,3452,54,54,0.035342917352885174,0.035342917352885174,0.035342917352885174,0.0,28,39,0.7492172000532296,0.09891564978512199
1.5096766948699951,1.0,0.0,0.28417351769217797,-0.016145047052612188,-0.08096888282447917,3987,3503,51,51,0.03337942194439155,0.03337942194439155,0.03337942194439155,0.0,26,37,0.7160085301988529,0.10351947380766373
1.646043300628662,1.0,0.0,0.3187482907409658,-0.0189506616473414,-0.08096888282447917,4040,3556,53,53,0.0346884188833873,0.0346884188833873,0.0346884188833873,0.0,24,36,0.6815152375004008,0.10877912622859708
1.784026861190796,1.0,0.0,0.35236633081198016,-0.021393419056985934,-0.06410036556937931,4089,3610,49,54,0.0320704250053958,0.035342917352885174,0.03370667117914049,0.016868517255099857,23,34,0.647986919501378,0.097121568319667
1.926544189453125,1.0,0.0,0.38437764049350637,-0.023339752147734247,-0.05735295866733941,4137,3660,48,50,0.031415926535897934,0.032724923474893676,0.03207042500539581,0.006747406902039907,22,32,0.6160646342346394,0.09524726014451841
2.068373680114746,1.0,0.0,0.4164013540820286,-0.025070049239858058,-0.0506055517652995,4185,3710,48,50,0.031415926535897934,0.032724923474893676,0.03207042500539581,0.006747406902039907,21,31,0.5841368734176765,0.093536845991054
2.2081313133239746,1.0,0.0,0.4468084745789313,-0.026353117532569314,-0.03373703451019968,4229,3759,44,49,0.028797932657906436,0.0320704250053958,0.03043417883165112,0.016868517255099823,20,29,0.5538188788777195,0.08133937127918586
2.3667752742767334,1.0,0.0,0.4775671017060118,-0.02676822467721163,0.006747406902039926,4270,3812,41,53,0.026834437249412816,0.0346884188833873,0.03076142806640006,0.040484441412239607,21,25,0.5231182190215002,0.0444454577996015
2.505765438079834,1.0,0.0,0.5070180243387936,-0.026470138460836165,0.01349481380407987,4314,3858,44,46,0.028797932657906436,0.030106929596902185,0.02945243112740431,0.006747406902039943,20,24,0.4936921070434103,0.04014760223230694
2.6481382846832275,1.0,0.0,0.533520649249197,-0.02597831603027068,0.02361592415713975,4353,3900,39,42,0.02552544031041707,0.027488935718910687,0.02650718801466388,0.010121110353059879,19,22,0.4672021592208873,0.03201678393539155
2.7858080863952637,1.0,0.0,0.5587127818614543,-0.02542578735923051,0.020242220706119796,4392,3938,39,38,0.02552544031041707,0.0248709418409192,0.025198191075668133,-0.0033737034510199536,17,21,0.442019094107136,0.03731146864707616
2.9234962463378906,1.0,0.0,0.5835801853118959,-0.025006271343625368,0.013494813804079853,4431,3975,39,37,0.02552544031041707,0.02421644337142132,0.024870941840919196,-0.006747406902039943,16,21,0.41716996017377134,0.04648378746157578
3.0665950775146484,1.0,0.0,0.6064871102869173,-0.02485170665428932,-1.5612511283791264e-17,4468,4008,37,33,0.02421644337142132,0.021598449493429827,0.022907446432425572,-0.013494813804079868,14,21,0.39429684464115566,0.06306971625440232
3.203627109527588,1.0,0.0,0.6287399316098293,-0.024926781359211874,-0.006747406902039958,4503,4041,35,33,0.022907446432425576,0.021598449493429827,0.0222529479629277,-0.006747406902039943,13,22,0.3720959322674788,0.07378781471051457
3.3408043384552,1.0,0.0,0.6483744387312762,-0.025059265378642774,-0.006747406902039958,4533,4071,30,30,0.019634954084936207,0.019634954084936207,0.019634954084936207,0.0,13,22,0.3525173784636188,0.07789402379399578
3.4803466796875,1.0,0.0,0.6667002915854391,-0.025121091606226057,-3.2959746043559335e-17,4560,4100,27,29,0.017671458676442587,0.018980455615438332,0.018325957145940458,0.0067474069020399255,13,22,0.33424506708808693,0.07522864081208219
3.617509603500366,1.0,0.0,0.6840438841257166,-0.02497480779247723,0.016868517255099788,4584,4129,24,29,0.015707963267948967,0.018980455615438332,0.01734420944169365,0.016868517255099823,14,21,0.31694164791430424,0.062012647899508014
3.751966714859009,1.0,0.0,0.7010546467916532,-0.024515582131264094,0.03711073796121958,4607,4158,23,29,0.015053464798451092,0.018980455615438332,0.017016960206944712,0.020242220706119793,15,20,0.29994889226682936,0.044713066032291485
3.8895134925842285,1.0,0.0,0.7170706766740472,-0.023731473202006467,0.060726662118359365,4628,4186,21,28,0.013744467859455343,0.01832595714594046,0.016035212502697904,0.023615924157139784,16,19,0.2839228501160466,0.022955200943228282
4.027348279953003,1.0,0.0,0.7337242844864199,-0.022634295382730235,0.07084777247141927,4652,4213,24,27,0.015707963267948967,0.017671458676442587,0.01668971097219578,0.010121110353059896,17,18,0.26723597811623667,0.013951606993095292
4.1667540073394775,1.0,0.0,0.749713321125726,-0.021418257820149,0.08096888282447917,4675,4239,23,26,0.015053464798451092,0.017016960206944712,0.016035212502697904,0.010121110353059896,17,18,0.251201439864433,0.004398041295080424
4.302395820617676,1.0,0.0,0.7650371534280018,-0.020096695206118852,0.09108999317753907,4697,4264,22,25,0.014398966328953218,0.016362461737446838,0.015380714033200028,0.010121110353059896,18,17,0.2358207294268763,-0.005766279575715155
4.445355415344238,1.0,0.0,0.781972734074711,-0.018434454897514045,0.10458480698161894,4721,4292,24,28,0.015707963267948967,0.01832595714594046,0.017016960206944716,0.013494813804079868,19,16,0.2188052051808301,-0.020234284948632372
4.580830335617065,1.0,0.0,0.7985798568172925,-0.01677616464901542,0.09446369662855905,4748,4316,27,24,0.017671458676442587,0.015707963267948967,0.01668971097219578,-0.010121110353059896,18,17,0.20211757414948675,-0.011366086489799102
4.722010135650635,1.0,0.0,0.8161780527077477,-0.015168696716400578,0.08771628972651911,4776,4342,28,26,0.01832595714594046,0.017016960206944712,0.017671458676442587,-0.006747406902039943,18,17,0.1844467339542496,-0.005384405137426745
4.857868194580078,1.0,0.0,0.8338051798115381,-0.013917760339108576,0.05397925521631945,4808,4364,32,22,0.020943951023931952,0.014398966328953218,0.017671458676442584,-0.03373703451019966,16,19,0.1667765640320367,0.029569446634856195
4.993984937667847,1.0,0.0,0.8511339689119235,-0.01318654937659571,0.030363331059179686,4838,4387,30,23,0.019634954084936207,0.015053464798451092,0.01734420944169365,-0.023615924157139766,14,21,0.14944892203150065,0.057986050675346484
5.136584758758545,1.0,0.0,0.8684726265041735,-0.012747739558964199,0.020242220706119772,4866,4412,28,25,0.01832595714594046,0.016362461737446838,0.01734420944169365,-0.010121110353059914,13,22,0.1321436901352987,0.0763768083951466
5.271785497665405,1.0,0.0,0.8851594644107237,-0.012438073584163708,0.016868517255099802,4892,4437,26,25,0.017016960206944712,0.016362461737446838,0.016689710972195775,-0.0033737034510199714,12,23,0.11551213914094445,0.09101828527579305
5.4151527881622314,1.0,0.0,0.902172938408266,-0.012093636043102145,0.023615924157139746,4917,4464,25,27,0.016362461737446838,0.017671458676442587,0.017016960206944712,0.006747406902039943,12,23,0.09857175058005181,0.09938263544969068
5.559011459350586,1.0,0.0,0.918850089837554,-0.011446277919627126,0.05397925521631945,4938,4494,21,30,0.013744467859455343,0.019634954084936207,0.016689710972195775,0.030363331059179707,13,22,0.08195318906294251,0.08614735701303929
5.699038982391357,1.0,0.0,0.9354999013298021,-0.010292922116747268,0.08434258627549916,4959,4524,21,30,0.013744467859455343,0.019634954084936207,0.016689710972195775,0.030363331059179707,13,22,0.06531620759173552,0.07390307785188215
6.42396879196167,1.0,1.0,0.9676767982094536,-0.0065529875530399,0.14844295184487855,4999,4583,20,30,0.01308996938995747,0.019634954084936207,0.016362461737446838,0.03373703451019967,-35,35,1.0070718475490925,1.3902516394461717
6.59016489982605,1.0,1.0,0.9676767982094536,-0.0065529875530399,0.202422207061198,4991,4591,-8,8,-0.005235987755982988,0.005235987755982988,0.0,0.053979255216319466,-35,35,1.0070718475490925,1.336272384229852
6.725293397903442,1.0,1.0,0.9673630691190298,-0.006646079547677514,0.3744810830632163,4965,4616,-26,25,-0.017016960206944712,0.016362461737446838,-0.00032724923474893725,0.1720588760020183,-35,35,1.007175008986044,1.163905141208361
6.862428665161133,1.0,1.0,0.9673630691190298,-0.006646079547677514,0.5903981039284942,4933,4648,-32,32,-0.020943951023931952,0.020943951023931952,0.0,0.21591702086527786,10,60,1.007175008986044,0.9479881203430831
6.999325275421143,1.0,1.0,0.9713619308922194,-0.0032660392668929436,0.813062531695812,4908,4689,-25,41,-0.016362461737446838,0.026834437249412816,0.005235987755982989,0.2226644277673178,10,60,1.003674690598752,0.729196703627381
7.137911081314087,1.0,1.0,0.9822013377980544,0.010273859517332569,0.9783740007957904,4910,4740,2,51,0.001308996938995747,0.03337942194439155,0.01734420944169365,0.16531146909997835,12,60,0.9898861679662443,0.5744408429099781
7.274987697601318,1.0,1.0,0.9930274070236924,0.02971582233394301,1.1470591733467888,4919,4799,9,59,0.005890486225480862,0.03861540970037454,0.0222529479629277,0.16868517255099832,20,60,0.9703092303394365,0.41655114225910905
7.40972900390625,1.0,1.0,1.0010960255964385,0.0518531808459429,1.2955021251916672,4933,4857,14,58,0.00916297857297023,0.037960911230876665,0.023561944901923447,0.14844295184487852,27,57,0.9481474526380715,0.27645016720487114
7.547328472137451,1.0,1.0,1.006829256529191,0.07974063102794025,1.4405713735855257,4955,4922,22,65,0.014398966328953218,0.04254240051736178,0.0284706834231575,0.14506924839385857,33,48,0.9202847086231495,0.1376458297556422
7.686732769012451,1.0,1.0,1.00917176467787,0.10909975831210636,1.5417824771161246,4985,4982,30,60,0.019634954084936207,0.039269908169872414,0.02945243112740431,0.101211103530599,37,42,0.890947451821292,0.03930842615740615
7.825947999954224,1.0,1.0,1.0090202906961407,0.14116982559703073,1.6092565461365238,5024,5041,39,59,0.02552544031041707,0.03861540970037454,0.03207042500539581,0.06747406902039932,40,37,0.8588775431394614,-0.027957608578772053
7.961150646209717,1.0,1.0,1.0071045077224812,0.1728551373929405,1.6531146909997834,5066,5096,42,55,0.027488935718910687,0.03599741582238305,0.031743175770646864,0.04385814486325959,41,33,0.8271753730420353,-0.0737293813779818
8.099082231521606,1.0,1.0,1.0038749907841578,0.20706420344227294,1.6767306151569232,5115,5152,49,56,0.0320704250053958,0.03665191429188092,0.03436116964863836,0.0236159241571398,41,30,0.7929452648299341,-0.10104743629368151
8.23751711845398,1.0,1.0,1.0005839592374854,0.2419248707496879,1.6531146909997834,5172,5202,57,50,0.03730641276137879,0.032724923474893676,0.03501566811813624,-0.023615924157139766,38,29,0.758075354167558,-0.08154804593503706
8.375178575515747,1.0,1.0,0.998322704211031,0.2755556068059213,1.6227513599406036,5228,5249,56,47,0.03665191429188092,0.03076142806640006,0.03370667117914049,-0.030363331059179707,35,29,0.7244463349010061,-0.054270314770716865
8.530824184417725,1.0,1.0,0.9971517768747394,0.3089144847623942,1.5890143254304039,5284,5295,56,46,0.03665191429188092,0.030106929596902185,0.03337942194439156,-0.03373703451019968,32,29,0.6910913845116277,-0.022339351111046346
8.673197746276855,1.0,1.0,0.9972890089645102,0.34589339364952565,1.5451561805671443,5347,5345,63,50,0.04123340357836604,0.032724923474893676,0.03697916352662986,-0.04385814486325959,28,30,0.6541122242732732,0.0214955993195296
8.807524681091309,1.0,1.0,0.9985844630452714,0.3776101243563753,1.5147928495079646,5400,5389,53,44,0.0346884188833873,0.028797932657906436,0.031743175770646864,-0.030363331059179707,25,30,0.6223914853599435,0.053729123912279464
8.944975852966309,1.0,1.0,1.0006466671991758,0.40797435586623804,1.491176925350825,5450,5432,50,43,0.032724923474893676,0.028143434188408565,0.030434178831651122,-0.023615924157139746,22,31,0.5920259973096301,0.08071169693566382
9.089714765548706,1.0,1.0,1.0033001318898056,0.438621127014597,1.4776821115467451,5499,5477,49,45,0.0320704250053958,0.02945243112740431,0.030761428066400056,-0.013494813804079851,19,30,0.5613885730087952,0.09899276542864088
9.226691722869873,1.0,1.0,1.006301664188572,0.4685780629996454,1.4641872977426653,5547,5521,48,44,0.031415926535897934,0.028797932657906436,0.030106929596902185,-0.013494813804079886,17,30,0.5314592986266722,0.1184665915751848
9.362661600112915,1.0,1.0,1.0092148469646,0.496241278855537,1.4675610011936853,5589,5564,42,43,0.027488935718910687,0.028143434188408565,0.027816184953659624,0.003373703451019989,15,29,0.5038429939313296,0.12152546929369734
9.499551773071289,1.0,1.0,1.0118630835473719,0.5236023539433341,1.481055814997765,5629,5608,40,44,0.02617993877991494,0.028797932657906436,0.027488935718910687,0.013494813804079868,15,27,0.4765453282947848,0.11463700843316671
9.635956287384033,1.0,1.0,1.0138412015395897,0.5483945058721855,1.5012980357038848,5664,5649,35,41,0.022907446432425576,0.026834437249412816,0.024870941840919196,0.020242220706119793,14,25,0.45181755298625464,0.10013757744283591
9.772058486938477,1.0,1.0,1.0152186126684055,0.5722439573350984,1.5249139598610246,5697,5689,33,40,0.021598449493429827,0.02617993877991494,0.023889194136672384,0.023615924157139766,14,23,0.4280266793178763,0.0814451524725388
9.907672643661499,1.0,1.0,1.0160142364419877,0.5944826775287534,1.5451561805671443,5728,5726,31,37,0.02028945255443408,0.02421644337142132,0.0222529479629277,0.020242220706119793,14,21,0.405833407438408,0.06511051763643216
10.047670841217041,1.0,1.0,1.0163595668777616,0.6167329458401895,1.565398401273264,5759,5763,31,37,0.02028945255443408,0.02421644337142132,0.0222529479629277,0.020242220706119793,15,20,0.3836160453275737,0.04805654179056584
10.18278980255127,1.0,1.0,1.0164032869060602,0.638331351084081,1.572145808175304,5791,5797,32,34,0.020943951023931952,0.022252947962927698,0.021598449493429824,0.0067474069020399255,15,20,0.3620404389429291,0.043973920248930876
10.31938648223877,1.0,1.0,1.0162711339989081,0.6589476293193308,1.5822669185283638,5821,5830,30,33,0.019634954084936207,0.021598449493429827,0.02061670178918302,0.010121110353059896,16,19,0.3414402866512899,0.03620186932427116
10.463073968887329,1.0,1.0,1.0159602472253504,0.679889272853373,1.5890143254304037,5852,5863,31,33,0.02028945255443408,0.021598449493429827,0.020943951023931956,0.0067474069020399255,16,19,0.3205083573416403,0.0315992693260958
10.619822978973389,1.0,1.0,1.0156194450221059,0.7005031576527592,1.5856406219793837,5884,5894,32,31,0.020943951023931952,0.02028945255443408,0.02061670178918302,-0.0033737034510199536,15,20,0.29990386065998986,0.03726078565117441
10.757080793380737,1.0,1.0,1.015279412613527,0.7234080802681178,1.5856406219793837,5919,5929,35,35,0.022907446432425576,0.022907446432425576,0.022907446432425576,0.0,15,20,0.277013628745559,0.04034133194800482
10.89146113395691,1.0,1.0,1.0149976714749902,0.7423864447208434,1.5856406219793837,5948,5958,29,29,0.018980455615438332,0.018980455615438332,0.018980455615438332,0.0,15,20,0.2580497510427763,0.04330777664151708
11.027685165405273,1.0,1.0,1.0146893266244357,0.7610371023964785,1.5890143254304037,5976,5987,28,29,0.01832595714594046,0.018980455615438332,0.018653206380689395,0.0033737034510199536,15,20,0.23941395687751887,0.043175909806478785
11.16683030128479,1.0,1.0,1.0142856149752146,0.7783766127142936,1.5991354357834635,6001,6015,25,28,0.016362461737446838,0.01832595714594046,0.01734420944169365,0.010121110353059914,16,19,0.22208332802623948,0.036030806789215664
11.304743528366089,1.0,1.0,1.0137848886107257,0.7960409758463491,1.5991354357834635,6028,6042,27,27,0.017671458676442587,0.017671458676442587,0.017671458676442587,0.0,15,20,0.20442432997987214,0.039144820589583906
11.443454027175903,1.0,1.0,1.0132838393001937,0.812723164009892,1.6025091392344835,6053,6068,25,26,0.016362461737446838,0.017016960206944712,0.016689710972195775,0.0033737034510199714,15,20,0.18774736665268887,0.039100152616242
11.60170865058899,1.0,1.0,1.0127631409970919,0.8300595556308286,1.5991354357834635,6080,6094,27,26,0.017671458676442587,0.017016960206944712,0.01734420944169365,-0.0033737034510199714,15,20,0.17041904940617142,0.04662376919837419
11.738816738128662,1.0,1.0,1.0121198132391043,0.8503388064639938,1.6058828426855034,6110,6126,30,32,0.019634954084936207,0.020943951023931952,0.02028945255443408,0.0067474069020399255,15,20,0.15015113294135565,0.045718819687083245
11.877573490142822,1.0,1.0,1.01144995020658,0.867015069110435,1.6160039530385633,6134,6153,24,27,0.015707963267948967,0.017671458676442587,0.01668971097219578,0.010121110353059896,15,20,0.13347693884501372,0.04068016527919771
12.013542413711548,1.0,1.0,1.0106369006306402,0.8843402112900651,1.6193776564895832,6160,6180,26,27,0.017016960206944712,0.017671458676442587,0.01734420944169365,0.0033737034510199714,15,20,0.11614788151082607,0.04312783915227181
12.149152278900146,1.0,1.0,1.009798292494213,0.9010088401697586,1.6227513599406032,6185,6206,25,26,0.016362461737446838,0.017016960206944712,0.016689710972195775,0.0033737034510199714,15,20,0.09947490266564002,0.04670509221617669
12.288879871368408,1.0,1.0,1.0088572458895944,0.9179997602735279,1.629498766842643,6210,6233,25,27,0.016362461737446838,0.017671458676442587,0.017016960206944712,0.006747406902039943,15,20,0.08247720970030221,0.048895276780464014
12.427793979644775,1.0,1.0,1.0077570020725044,0.9372760910998262,1.626125063391623,6240,6262,30,29,0.019634954084936207,0.018980455615438332,0.01930770485018727,-0.0033737034510199714,14,21,0.06320173912852504,0.0677155049307947
